                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 0.9673,                0.70557,                0.89063,                0.90911,                0.73885,                0.77719,                0.49922,                0.84138,                0.67077,                0.88895,             0.00082925,             0.00082925,             0.00082925
                     36,                0.95033,                0.68673,                0.88611,                 0.9156,                0.73623,                0.77181,                0.50921,                0.77077,                0.65689,                0.88546,             0.00081688,             0.00081688,             0.00081688
                     37,                0.99714,                0.69256,                0.89012,                0.86871,                0.73478,                0.78008,                0.50548,                0.83804,                0.67796,                0.88855,              0.0008045,              0.0008045,              0.0008045
                     38,                0.94569,                0.66662,                0.87363,                0.91645,                0.72543,                0.77858,                0.49993,                0.83977,                0.67863,                0.89094,             0.00079213,             0.00079213,             0.00079213
                     39,                0.94048,                0.66031,                0.87323,                0.91165,                0.74111,                0.78034,                0.49011,                0.88274,                0.66328,                0.88949,             0.00077975,             0.00077975,             0.00077975
                     40,                0.98831,                0.66451,                0.87903,                0.94194,                0.71482,                0.77151,                0.51041,                0.80318,                0.63489,                0.88415,             0.00076738,             0.00076738,             0.00076738
                     41,                0.90574,                0.64801,                0.86389,                0.86043,                0.74145,                0.77715,                 0.5076,                0.87466,                0.66561,                0.88847,               0.000755,               0.000755,               0.000755
                     42,                0.91372,                0.64435,                0.86957,                0.85067,                 0.7247,                0.75956,                0.51334,                0.78741,                0.62483,                0.88364,             0.00074263,             0.00074263,             0.00074263
                     43,                0.96505,                0.65415,                0.86558,                0.88587,                0.73423,                0.76638,                0.49151,                0.93368,                0.65464,                0.88702,             0.00073025,             0.00073025,             0.00073025
                     44,                0.94568,                0.64597,                0.86843,                0.86966,                0.75207,                 0.7651,                0.49226,                0.77289,                0.63643,                0.88107,             0.00071788,             0.00071788,             0.00071788
                     45,                0.90637,                0.62924,                0.86666,                0.89312,                0.73355,                0.76054,                0.49837,                0.78942,                0.63855,                0.88713,              0.0007055,              0.0007055,              0.0007055
