                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.77474,                0.64654,                 1.9672,                0.85694,                0.81049,                0.82195,                0.58307,                0.71312,                0.61007,                 1.8623,             0.00082925,             0.00082925,             0.00082925
                     36,                0.77974,                0.63189,                 1.9656,                0.86436,                0.82298,                0.82632,                0.58382,                 0.7352,                0.58893,                 1.8719,             0.00081688,             0.00081688,             0.00081688
                     37,                0.76647,                0.62143,                 1.9909,                0.87694,                0.82875,                0.83603,                0.58632,                0.76055,                0.60834,                 1.8686,              0.0008045,              0.0008045,              0.0008045
                     38,                0.77188,                0.61517,                  1.967,                0.91828,                0.81402,                0.83787,                0.58404,                0.73026,                0.59384,                 1.8474,             0.00079213,             0.00079213,             0.00079213
                     39,                0.74219,                0.60383,                   2.02,                0.97515,                0.76416,                0.83977,                0.59634,                0.67865,                0.56446,                 1.8722,             0.00077975,             0.00077975,             0.00077975
                     40,                0.75259,                0.60539,                 1.9935,                0.95655,                0.80177,                0.84477,                0.60574,                0.71747,                0.59859,                 1.8747,             0.00076738,             0.00076738,             0.00076738
                     41,                 0.7557,                0.61258,                 1.9551,                0.94126,                0.79696,                0.83728,                0.58721,                0.68789,                0.58107,                 1.8846,               0.000755,               0.000755,               0.000755
                     42,                0.74308,                0.60253,                 2.0151,                0.93521,                 0.8148,                0.84457,                0.62142,                0.66135,                0.56378,                 1.8797,             0.00074263,             0.00074263,             0.00074263
                     43,                0.76598,                0.59852,                 1.9491,                0.94902,                0.80044,                 0.8428,                  0.609,                0.70402,                0.57158,                 1.8847,             0.00073025,             0.00073025,             0.00073025
                     44,                0.76294,                0.59231,                 1.9668,                 0.9552,                0.80256,                0.84414,                0.60503,                0.69531,                0.58435,                 1.8531,             0.00071788,             0.00071788,             0.00071788
                     45,                0.75642,                 0.6031,                 1.9468,                 0.9683,                 0.7896,                0.84606,                0.61198,                0.66422,                 0.5513,                 1.8451,              0.0007055,              0.0007055,              0.0007055
                     46,                0.73417,                0.58591,                 1.9526,                0.96156,                0.79757,                0.84685,                0.60537,                0.68026,                0.54413,                 1.8642,             0.00069313,             0.00069313,             0.00069313
                     47,                0.73139,                0.57898,                  2.022,                0.96869,                 0.8001,                0.84684,                0.59701,                0.68485,                0.54852,                 1.8516,             0.00068075,             0.00068075,             0.00068075
                     48,                0.72884,                0.57574,                 1.9905,                0.97106,                0.79441,                0.84865,                0.60749,                0.69373,                0.53996,                 1.8454,             0.00066838,             0.00066838,             0.00066838
                     49,                0.74347,                0.57403,                  1.947,                0.97558,                0.79541,                0.84852,                0.62329,                0.65256,                 0.5423,                  1.878,               0.000656,               0.000656,               0.000656
                     50,                0.72924,                0.57079,                 1.9448,                0.94917,                0.81853,                0.84862,                0.61244,                0.65262,                 0.5402,                 1.8687,             0.00064362,             0.00064362,             0.00064362
                     51,                0.70525,                0.56432,                 1.9521,                0.95661,                0.82297,                0.85081,                  0.615,                0.66015,                0.54276,                 1.8552,             0.00063125,             0.00063125,             0.00063125
                     52,                0.68833,                0.55052,                 1.9412,                0.94473,                0.82553,                0.84892,                0.61264,                0.66993,                0.53354,                 1.8373,             0.00061887,             0.00061887,             0.00061887
                     53,                0.69873,                0.55637,                 1.9808,                0.93552,                0.81217,                0.84919,                0.61587,                0.63494,                0.53093,                 1.8604,              0.0006065,              0.0006065,              0.0006065
                     54,                0.70319,                0.55672,                 1.9731,                0.95402,                0.82098,                0.84915,                0.62084,                0.63959,                0.52331,                 1.8478,             0.00059413,             0.00059413,             0.00059413
                     55,                0.71847,                 0.5623,                 1.9631,                0.94399,                0.80965,                0.84853,                0.61745,                0.66292,                0.53962,                 1.8623,             0.00058175,             0.00058175,             0.00058175
                     56,                0.71232,                0.55859,                 1.9217,                0.93249,                0.82756,                0.84867,                0.61963,                0.65196,                 0.5288,                 1.8523,             0.00056938,             0.00056938,             0.00056938
                     57,                0.71971,                0.55176,                 1.9719,                0.92826,                0.82526,                0.84971,                0.62747,                0.62404,                0.51215,                  1.879,               0.000557,               0.000557,               0.000557
